title,description,prerequisites,prereq_text,course_code,terms,professors,terms_str,professors_str
MATH 0399 - Support for Precalculus,Practicum for Learning Support students enrolled in MATH 1113 (Precalculus).,['MATH 1113'],,MATH 0399,['fall2015' 'fall2016' 'fall2017' 'fall2018'],"['Ishwari Jang  Kunwar' 'Christopher J  Jankowski' 'Lisa G  Camp'
 'Stephanie S  Reikes']","fall2015, fall2016, fall2017, and fall2018","Ishwari Jang Kunwar, Christopher J Jankowski, Lisa G Camp, and Stephanie S Reikes"
MATH 0999 - Support for MATH 1111,"This Learning Support course provides corequisite support in mathematics for students enrolled in MATH 1111 – College Algebra. Topics will parallel topics being studied in MATH 1111 and the course will provide support for the essential quantitative skills needed to be successful in MATH 1111. Taken with MATH 1111, this course provides an in-depth study of the properties of algebraic, exponential and logarithmic functions as needed for calculus. Emphasis is on using algebraic and graphical techniques for solving problems involving linear, quadratic, piece-wise defined, rational, polynomial, exponential and logarithmic functions.",['MATH 1111'],,MATH 0999,['fall2022' 'spring2022' 'spring2023' 'spring2024' 'spring2025'],['Stephanie S  Reikes'],"fall2022, spring2022, spring2023, spring2024, and spring2025",Stephanie S Reikes
MATH 1111 - College Algebra,"This course provides an in-depth study of the properties of algebraic, exponential and logarithmic functions as needed for calculus. Emphasis is on using algebraic and graphical techniques for solving problems involving linear, quadratic, piece-wise defined, rational, polynomial, exponential and logarithmic functions.",[],Learning Support Math 2 3 or MATH 0099,MATH 1111,['fall2022' 'spring2022' 'spring2023' 'spring2024' 'spring2025'],['Stephanie S  Reikes'],"fall2022, spring2022, spring2023, spring2024, and spring2025",Stephanie S Reikes
MATH 1113 - Pre-calculus,"This course is an intensive study of the basic functions needed for the study of calculus. Topics include algebraic, functional, and graphical techniques for solving problems with algebraic, exponential, logarithmic, and trigonometric functions and their inverses. May only be used for degree credit with departmental approval.",['MATH 1111'],MATH 1111 or SAT Mathematics 500 or MATH SECTION SCORE 530 or ACT Math 21,MATH 1113,['fall2023' 'spring2023' 'fall2024' 'spring2024' 'spring2025'],"['Michael J.  Evans' 'Salvador P  Barone' 'Martin   Engman'
 'Stephanie S  Reikes' 'Sean   Kafer']","fall2023, spring2023, fall2024, spring2024, and spring2025","Michael J. Evans, Salvador P Barone, Martin Engman, Stephanie S Reikes, and Sean Kafer"
MATH 1501 - Calculus I,Differential calculus and basic integral calculus including the fundamental theorem of calculus. Credit not allowed for both MATH 1501 and 1712.,"['MATH 1113', 'MATH 1501']",MATH 1113 or SAT Mathematics 600 or Converted ACT Math 600,MATH 1501,['fall2009' 'spring2009' 'spring2010' 'spring2011' 'fall2012'],"['TBA' 'Adrian   Tudorascu' 'Nathan   Geer' 'Klara Judith  Grodzinsky'
 'Federico   Bonetto']","fall2009, spring2009, spring2010, spring2011, and fall2012","TBA, Adrian Tudorascu, Nathan Geer, Klara Judith Grodzinsky, and Federico Bonetto"
MATH 1503 - Calculus I For Life Sci,"Differential and basic calculus: sequences, difference equations, limits, continuity, differentiation, integration, applications.  The topics parallel those of MATH 1501 with applications from life sciences.","['MATH 1113', 'MATH 1501']",SAT Mathematics 600 or Converted ACT Math 600 or MATH 1113,MATH 1503,[],[],,
MATH 1504 - Calculus II For Life Sci,"Taylor approximations, introduction to differential equations, linear algebra, and introduction to multivariable calculus.  Motivating examples drawn from life sciences.","['MATH 1501', 'MATH 1503', 'MATH 1511']",MATH 1503 or MATH 1501 or MATH 1511 or MATH 15X1 or SAT Mathematics 600 or Converted ACT Math 600,MATH 1504,['spring2015'],['TBA'],spring2015,TBA
MATH 1512 - Honors Calculus II,The topics covered parallel those of 1502 with a somewhat more intensive and rigorous treatment.  Credit not allowed for both honors calculus and the corresponding regular calculus course.  Credit not allowed for both MATH 1512 and MATH 1522.  Credit not allowed for both MATH 1512 and MATH 15X2.,"['MATH 1522', 'MATH 1511', 'MATH 1501', 'MATH 1512']",MATH 1501 or MATH 1511,MATH 1512,['fall2010' 'fall2011' 'fall2012' 'fall2013' 'fall2014'],['Jean V.  Bellissard' 'Matthew   Baker' 'TBA' 'Wilfred   Gangbo'],"fall2010, fall2011, fall2012, fall2013, and fall2014","Jean V. Bellissard, Matthew Baker, TBA, and Wilfred Gangbo"
MATH 1550 - Intro to Diff Calculus,"An introduction to differential calculus including applications and the underlying theory of limits for functions and sequences. Credit not awarded for both MATH 1550 and MATH 1501, MATH 1551, or MATH 1503.","['MATH 1551', 'MATH 1503', 'MATH 1113', 'MATH 1501', 'MATH 1550']",(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or ACT Math 26,MATH 1550,['fall2022' 'fall2023' 'fall2024'],['Athulya   Ram Sreedharan Nair' 'Sierra Alexis  Knavel'],"fall2022, fall2023, and fall2024","Athulya Ram Sreedharan Nair, and Sierra Alexis Knavel"
MATH 1551 - Differential Calculus,"Differential calculus including applications and the underlying theory of limits for functions and sequences. Credit not awarded for both MATH 1551 and MATH 1501, MATH 1503, or MATH 1550.","['MATH 1551', 'MATH 1503', 'MATH 1113', 'MATH 1501', 'MATH 1550']",(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or Converted ACT Math 600 or ACT Math 26,MATH 1551,['fall2023' 'spring2023' 'fall2024' 'spring2024' 'spring2025'],"['Randall Ross  Van Why' 'Anastasios   Fragkos' 'lukas   Wessels'
 'Sean   Kafer' 'Yosia I  Nurhan']","fall2023, spring2023, fall2024, spring2024, and spring2025","Randall Ross Van Why, Anastasios Fragkos, lukas Wessels, Sean Kafer, and Yosia I Nurhan"
